base_gradient_norm,base_iterations,candidate_count,feature_bound,m,optimizer_converged,outside_candidate_payers,payer_count,refits,seed,signal_norm,total_payment
3.564805439787199e-10,4,14,0.859827851017198,250,True,[],1,194,0,0.06954984956079395,0.2938245092962871
8.454427353069831e-10,3,23,0.9057021891482863,250,True,[],3,214,1,0.05749556742324561,0.6336957493159376
1.5241802363582428e-12,4,17,0.8562972811972245,250,True,[],3,212,2,0.06385649273656087,1.7004708865784495
1.924105757065957e-10,4,21,0.9537655469925365,250,True,[],4,85,3,0.06410934037970009,1.4188299733469045
2.0049981193707224e-10,4,15,0.8320935584515321,250,True,[],3,63,4,0.06058160728821979,1.3620976194155343
2.4950681998056304e-11,4,24,0.8731654410437871,250,True,[],4,88,5,0.04266507788792333,1.350397191044466
7.498312243643565e-10,4,16,0.9198107046812825,250,True,[],2,48,6,0.04925190900817459,0.8972286467015316
3.6709196666614797e-11,4,13,0.8744209848806983,250,True,[],3,61,7,0.0600971072606385,0.8961556014363539
1.0767449572146156e-09,4,33,0.8451006435342746,250,True,[],4,97,8,0.04440304099729459,0.8847875583269721
1.969993326445487e-10,4,12,0.8995400695488447,250,True,[],2,44,9,0.06366317820798847,1.1535007714902672
2.7866960889744253e-10,4,14,0.8855122660179964,250,True,[],2,46,10,0.06816165541870761,1.0729891530073963
7.826040253124169e-11,4,9,0.8523709194741812,250,True,[],1,25,11,0.05736460947167436,0.06483266513656208
1.1923485635491466e-10,4,15,0.892821026509389,250,True,[],1,31,12,0.06022196004361793,0.12842578662167747
4.1529532028133037e-10,4,8,0.87262279953125,250,True,[],1,24,13,0.07088864189856968,0.02989475027178782
4.4971330163952263e-11,4,20,0.8719080528422394,250,True,[],3,68,14,0.047785412637654956,0.3085501567415521
1.1973419336069304e-11,4,20,0.912867189897616,250,True,[],3,68,15,0.05344330076888968,0.5134156134269645
9.714706484477896e-11,4,22,0.8815573377124742,250,True,[],4,86,16,0.04966578102147841,1.0716029129317504
1.282271868146057e-10,4,18,0.9107668973612677,250,True,[],1,34,17,0.05974058354044757,0.43739671550989634
5.3443220608295e-11,4,9,0.8413035536321186,250,True,[],2,41,18,0.06379538505829384,0.5999604261034626
8.007649405868294e-10,4,22,0.9258583966544602,250,True,[],4,86,19,0.055165323474684676,1.5984708900322344
3.362259627691945e-11,4,21,0.9129980842523862,500,True,[],3,69,0,0.05763871317953718,0.6548785727505776
8.423863698519905e-12,4,12,0.8755598907960591,500,True,[],3,60,1,0.061635341836014705,0.7713936462144497
6.690996673604641e-12,4,23,0.9496688379940909,500,True,[],2,55,2,0.06082441254170496,0.1650020810959678
9.981918173877878e-12,4,15,0.9049708850852844,500,True,[],2,47,3,0.0560513981299781,0.33839044886898145
3.3671567877527746e-10,4,16,0.9149318298586395,500,True,[],2,48,4,0.06001796103711334,0.7106527575231922
2.721861487459307e-11,4,17,0.8780794077155157,500,True,[],3,65,5,0.05842766410211808,0.8905559283610548
1.5178905814958354e-11,4,13,0.9398013877526183,500,True,[],1,29,6,0.06273956925935302,0.3944949079401872
2.5372167569533597e-11,4,18,0.9206978202142254,500,True,[],3,66,7,0.06484259620283384,0.9954113244939684
2.040199560712619e-11,4,16,0.8741737789392837,500,True,[],6,112,8,0.06114801276565305,3.0432115272757674
2.662771088590171e-10,4,23,0.8990120514070806,500,True,[],3,71,9,0.05454386150098576,1.5844845746680547
6.272258430617265e-11,4,17,0.8768674379186565,500,True,[],1,33,10,0.06325476277675969,0.7439720065809576
9.291292535610457e-12,4,14,0.9019615651191729,500,True,[],2,46,11,0.05350939701634491,0.3831130016652414
8.954024466363206e-11,4,22,0.9201357089946319,500,True,[],4,86,12,0.048058059217695355,1.4585112839848862
2.1771648004165065e-11,4,26,0.9398586774947801,500,True,[],2,58,13,0.05810477187464764,0.2682529263787611
8.713849923003751e-11,4,24,0.9429909451421273,500,True,[],1,40,14,0.04358611549274216,0.39295477226016695
5.602475310810731e-11,4,12,0.9081156298231141,500,True,[],4,76,15,0.06065815714323686,1.1368934077937753
3.6143102356232212e-12,4,19,0.873392330526345,500,True,[],5,99,16,0.05004657331028773,0.9269063868532114
2.35951078956449e-10,4,23,0.920912238796058,500,True,[],4,87,17,0.04879638546386282,1.6685354660137062
1.0071066796318845e-09,3,29,0.9134596752378573,500,True,[],4,93,18,0.05363409445471449,1.8877767083833636
3.7165106945266856e-10,3,24,0.8996087741854766,500,True,[],3,72,19,0.06151546976768726,0.8194956610673902
1.3572617956267334e-09,4,12,0.9345687799560533,1000,True,[],1,28,0,0.058997750007636754,0.41727828234528064
1.3890929730697482e-11,4,15,0.8950894853213572,1000,True,[],3,63,1,0.053081555549963653,1.095674650494111
9.565413174196644e-10,3,17,0.9082850744862881,1000,True,[],2,49,2,0.05857219465258351,0.41821701815077006
2.209610366213389e-11,4,15,0.9679311801352931,1000,True,[],0,15,3,0.062132194369573554,0.0
6.922899403802637e-10,3,16,0.925189271013613,1000,True,[],2,48,4,0.06355723451297708,0.10485168299304806
8.3017123160789e-12,4,9,0.9243601693072842,1000,True,[],1,25,5,0.05901447607505111,0.5716689416586386
3.9619218360246757e-10,3,20,0.9120639720991757,1000,True,[],5,100,6,0.063508433952627,1.1920510370811415
4.555466916124595e-11,4,22,0.9754331129230953,1000,True,[],1,38,7,0.05351114170683481,0.04438164319189636
1.6406565989918854e-09,3,16,0.9049040234524964,1000,True,[],3,64,8,0.05311113354088435,0.9926198197903147
2.5170987659628665e-09,3,19,0.9048771310487066,1000,True,[],3,67,9,0.05451867701862582,0.5821952055553603
5.347068707070569e-12,4,11,0.9261507904548971,1000,True,[],0,11,10,0.06363211615890806,0.0
