candidate_count,m,optimizer_converged,outside_candidate_payers,panel,payer_count,payer_fraction,runtime_seconds,seed,sigma,training_accuracy
1,4096,True,[],plateau,1,0.000244140625,0.015302666986826807,0,0.1,0.994384765625
0,4096,True,[],plateau,0,0.0,0.014636874955613166,1,0.1,0.994384765625
2,4096,True,[],plateau,2,0.00048828125,0.011969582992605865,2,0.1,0.993896484375
0,4096,True,[],plateau,0,0.0,0.005139750021044165,3,0.1,0.99365234375
1,4096,True,[],plateau,1,0.000244140625,0.008143667015247047,4,0.1,0.99267578125
0,4096,True,[],plateau,0,0.0,0.003910208004526794,5,0.1,0.992431640625
1,4096,True,[],plateau,1,0.000244140625,0.007185333990491927,6,0.1,0.991455078125
0,4096,True,[],plateau,0,0.0,0.005979207984637469,7,0.1,0.994384765625
2,4096,True,[],plateau,2,0.00048828125,0.0145244580344297,8,0.1,0.995361328125
1,4096,True,[],plateau,1,0.000244140625,0.008922541979700327,9,0.1,0.9951171875
1,8192,True,[],plateau,1,0.0001220703125,0.029205124999862164,0,0.1,0.9947509765625
0,8192,True,[],plateau,0,0.0,0.020821958023589104,1,0.1,0.9935302734375
0,8192,True,[],plateau,0,0.0,0.03871900000376627,2,0.1,0.993408203125
1,8192,True,[],plateau,1,0.0001220703125,0.06029637495521456,3,0.1,0.994140625
2,8192,True,[],plateau,2,0.000244140625,0.02592583396472037,4,0.1,0.994384765625
1,8192,True,[],plateau,1,0.0001220703125,0.01847666600951925,5,0.1,0.9931640625
0,8192,True,[],plateau,0,0.0,0.02588020800612867,6,0.1,0.9937744140625
2,8192,True,[],plateau,2,0.000244140625,0.07228137500351295,7,0.1,0.992919921875
1,8192,True,[],plateau,1,0.0001220703125,0.022446957998909056,8,0.1,0.9931640625
0,8192,True,[],plateau,0,0.0,0.023381958017125726,9,0.1,0.9949951171875
1,16384,True,[],plateau,1,6.103515625e-05,0.03831095801433548,0,0.1,0.99365234375
1,16384,True,[],plateau,1,6.103515625e-05,0.08040824998170137,1,0.1,0.99407958984375
1,16384,True,[],plateau,1,6.103515625e-05,0.06989412498660386,2,0.1,0.99346923828125
0,16384,True,[],plateau,0,0.0,0.028147625038400292,3,0.1,0.9935302734375
1,16384,True,[],plateau,1,6.103515625e-05,0.03244895796524361,4,0.1,0.9932861328125
2,16384,True,[],plateau,2,0.0001220703125,0.04560629202751443,5,0.1,0.9937744140625
1,16384,True,[],plateau,1,6.103515625e-05,0.05692720803199336,6,0.1,0.99383544921875
0,16384,True,[],plateau,0,0.0,0.025749541993718594,7,0.1,0.9935302734375
1,16384,True,[],plateau,1,6.103515625e-05,0.0279987920075655,8,0.1,0.9940185546875
1,16384,True,[],plateau,1,6.103515625e-05,0.03845962503692135,9,0.1,0.99371337890625
1,32768,True,[],plateau,1,3.0517578125e-05,0.08436079096281901,0,0.1,0.993896484375
1,32768,True,[],plateau,1,3.0517578125e-05,0.08446179196471348,1,0.1,0.994598388671875
0,32768,True,[],plateau,0,0.0,0.05178658297518268,2,0.1,0.993743896484375
2,32768,True,[],plateau,2,6.103515625e-05,0.1100104579818435,3,0.1,0.99322509765625
0,32768,True,[],plateau,0,0.0,0.047561165993101895,4,0.1,0.994049072265625
0,32768,True,[],plateau,0,0.0,0.053730459010694176,5,0.1,0.993560791015625
1,32768,True,[],plateau,1,3.0517578125e-05,0.07999200001358986,6,0.1,0.99383544921875
3,32768,True,[],plateau,3,9.1552734375e-05,0.3361885839840397,7,0.1,0.993743896484375
0,32768,True,[],plateau,0,0.0,0.045242833031807095,8,0.1,0.99407958984375
2,32768,True,[],plateau,2,6.103515625e-05,0.48141620901878923,9,0.1,0.993255615234375
1,65536,True,[],plateau,1,1.52587890625e-05,0.37754237500485033,0,0.1,0.9941864013671875
0,65536,True,[],plateau,0,0.0,0.31681937497342005,1,0.1,0.993804931640625
0,65536,True,[],plateau,0,0.0,0.13225083303404972,2,0.1,0.99407958984375
1,65536,True,[],plateau,1,1.52587890625e-05,0.25271145801525563,3,0.1,0.994049072265625
1,65536,True,[],plateau,1,1.52587890625e-05,0.2033339170156978,4,0.1,0.9941864013671875
1,65536,True,[],plateau,1,1.52587890625e-05,0.18799025000771508,5,0.1,0.99371337890625
1,65536,True,[],plateau,1,1.52587890625e-05,0.19671758398180827,6,0.1,0.9933013916015625
0,65536,True,[],plateau,0,0.0,0.08745429199188948,7,0.1,0.993560791015625
0,65536,True,[],plateau,0,0.0,0.09108966699568555,8,0.1,0.993804931640625
1,65536,True,[],plateau,1,1.52587890625e-05,0.14543670800048858,9,0.1,0.99371337890625
7,4096,True,[],plateau,7,0.001708984375,0.018137500039301813,0,0.2,0.882080078125
13,4096,True,[],plateau,13,0.003173828125,0.04946279199793935,1,0.2,0.902587890625
3,4096,True,[],plateau,3,0.000732421875,0.00969779200386256,2,0.2,0.89794921875
6,4096,True,[],plateau,6,0.00146484375,0.01938570901984349,3,0.2,0.8935546875
8,4096,True,[],plateau,8,0.001953125,0.03171287500299513,4,0.2,0.891845703125
4,4096,True,[],plateau,4,0.0009765625,0.020309665997046977,5,0.2,0.890380859375
5,4096,True,[],plateau,5,0.001220703125,0.01735337497666478,6,0.2,0.90087890625
6,4096,True,[],plateau,6,0.00146484375,0.01941874995827675,7,0.2,0.895751953125
2,4096,True,[],plateau,2,0.00048828125,0.013480708003044128,8,0.2,0.89453125
8,4096,True,[],plateau,8,0.001953125,0.041847000014968216,9,0.2,0.892333984375
8,8192,True,[],plateau,8,0.0009765625,0.058364792028442025,0,0.2,0.8917236328125
9,8192,True,[],plateau,9,0.0010986328125,0.09646191698266193,1,0.2,0.8931884765625
8,8192,True,[],plateau,8,0.0009765625,0.056680250039789826,2,0.2,0.89453125
4,8192,True,[],plateau,4,0.00048828125,0.061222166987136006,3,0.2,0.8935546875
8,8192,True,[],plateau,8,0.0009765625,0.08700345800025389,4,0.2,0.8970947265625
5,8192,True,[],plateau,5,0.0006103515625,0.03933895897353068,5,0.2,0.8958740234375
4,8192,True,[],plateau,4,0.00048828125,0.038983291015028954,6,0.2,0.892578125
6,8192,True,[],plateau,6,0.000732421875,0.046175917028449476,7,0.2,0.8929443359375
3,8192,True,[],plateau,3,0.0003662109375,0.030944709025789052,8,0.2,0.897216796875
7,8192,True,[],plateau,7,0.0008544921875,0.050334875006228685,9,0.2,0.894287109375
9,16384,True,[],plateau,9,0.00054931640625,0.13003866700455546,0,0.2,0.896728515625
4,16384,True,[],plateau,4,0.000244140625,0.0737176249967888,1,0.2,0.89654541015625
6,16384,True,[],plateau,6,0.0003662109375,0.10980124998604879,2,0.2,0.89501953125
8,16384,True,[],plateau,8,0.00048828125,0.13032029202440754,3,0.2,0.89215087890625
3,16384,True,[],plateau,3,0.00018310546875,0.07146720797754824,4,0.2,0.89306640625
4,16384,True,[],plateau,4,0.000244140625,0.08530208299634978,5,0.2,0.8963623046875
5,16384,True,[],plateau,5,0.00030517578125,0.10869020799873397,6,0.2,0.8927001953125
6,16384,True,[],plateau,6,0.0003662109375,0.13490108400583267,7,0.2,0.89654541015625
8,16384,True,[],plateau,8,0.00048828125,0.1799597080098465,8,0.2,0.8931884765625
11,16384,True,[],plateau,11,0.00067138671875,0.1920607089996338,9,0.2,0.89361572265625
6,32768,True,[],plateau,6,0.00018310546875,0.2389843340497464,0,0.2,0.893585205078125
9,32768,True,[],plateau,9,0.000274658203125,0.3554771249764599,1,0.2,0.893341064453125
6,32768,True,[],plateau,6,0.00018310546875,0.2639950419543311,2,0.2,0.892333984375
6,32768,True,[],plateau,6,0.00018310546875,0.26600095798494294,3,0.2,0.893096923828125
8,32768,True,[],plateau,8,0.000244140625,0.35802158300066367,4,0.2,0.897003173828125
5,32768,True,[],plateau,5,0.000152587890625,0.25489400001242757,5,0.2,0.894622802734375
2,32768,True,[],plateau,2,6.103515625e-05,0.11993862496456131,6,0.2,0.892822265625
3,32768,True,[],plateau,3,9.1552734375e-05,0.20400987501488999,7,0.2,0.892333984375
6,32768,True,[],plateau,5,0.000152587890625,0.385901500005275,8,0.2,0.8984375
4,32768,True,[],plateau,4,0.0001220703125,0.25793287495616823,9,0.2,0.892059326171875
1,65536,True,[],plateau,1,1.52587890625e-05,0.2566188749624416,0,0.2,0.894989013671875
5,65536,True,[],plateau,5,7.62939453125e-05,0.5707052910001948,1,0.2,0.8956756591796875
6,65536,True,[],plateau,6,9.1552734375e-05,0.5895549589768052,2,0.2,0.8945770263671875
7,65536,True,[],plateau,6,9.1552734375e-05,0.6690100419800729,3,0.2,0.89276123046875
6,65536,True,[],plateau,6,9.1552734375e-05,0.5364050000207499,4,0.2,0.8929901123046875
8,65536,True,[],plateau,8,0.0001220703125,0.8444945420487784,5,0.2,0.89398193359375
8,65536,True,[],plateau,8,0.0001220703125,0.9098512079799548,6,0.2,0.898284912109375
6,65536,True,[],plateau,6,9.1552734375e-05,0.7504330829833634,7,0.2,0.89337158203125
9,65536,True,[],plateau,8,0.0001220703125,1.033753625000827,8,0.2,0.896087646484375
4,65536,True,[],plateau,4,6.103515625e-05,0.39317154203308746,9,0.2,0.8946990966796875
14,4096,True,[],plateau,14,0.00341796875,0.03865262499311939,0,0.5,0.69091796875
10,4096,True,[],plateau,10,0.00244140625,0.030747833021450788,1,0.5,0.70654296875
13,4096,True,[],plateau,13,0.003173828125,0.04247124999528751,2,0.5,0.69287109375
11,4096,True,[],plateau,11,0.002685546875,0.03331720799906179,3,0.5,0.692626953125
15,4096,True,[],plateau,15,0.003662109375,0.04896995797753334,4,0.5,0.679931640625
17,4096,True,[],plateau,17,0.004150390625,0.06935245799832046,5,0.5,0.69873046875
18,4096,True,[],plateau,18,0.00439453125,0.06618524994701147,6,0.5,0.69140625
14,4096,True,[],plateau,14,0.00341796875,0.044290791964158416,7,0.5,0.688720703125
17,4096,True,[],plateau,17,0.004150390625,0.05699212499894202,8,0.5,0.68603515625
12,4096,True,[],plateau,12,0.0029296875,0.054230582958552986,9,0.5,0.6884765625
17,8192,True,[],plateau,17,0.0020751953125,0.3163558340165764,0,0.5,0.693359375
17,8192,True,[],plateau,17,0.0020751953125,0.318435708002653,1,0.5,0.6939697265625
18,8192,True,[],plateau,18,0.002197265625,0.31978266598889604,2,0.5,0.692138671875
12,8192,True,[],plateau,12,0.00146484375,0.20135574997402728,3,0.5,0.7005615234375
12,8192,True,[],plateau,12,0.00146484375,0.09601712500443682,4,0.5,0.6893310546875
13,8192,True,[],plateau,13,0.0015869140625,0.091204917000141,5,0.5,0.6900634765625
14,8192,True,[],plateau,14,0.001708984375,0.08570233400678262,6,0.5,0.693359375
17,8192,True,[],plateau,17,0.0020751953125,0.11700283404206857,7,0.5,0.7113037109375
9,8192,True,[],plateau,9,0.0010986328125,0.06788349995622411,8,0.5,0.6937255859375
9,8192,True,[],plateau,9,0.0010986328125,0.06276912504108623,9,0.5,0.69921875
11,16384,True,[],plateau,11,0.00067138671875,0.1911547920317389,0,0.5,0.69091796875
7,16384,True,[],plateau,7,0.00042724609375,0.14397583401296288,1,0.5,0.68701171875
17,16384,True,[],plateau,17,0.00103759765625,0.28995904204202816,2,0.5,0.6944580078125
14,16384,True,[],plateau,14,0.0008544921875,0.2402155000017956,3,0.5,0.6973876953125
15,16384,True,[],plateau,15,0.00091552734375,0.23585779196582735,4,0.5,0.6893310546875
16,16384,True,[],plateau,16,0.0009765625,0.2562910830019973,5,0.5,0.69171142578125
13,16384,True,[],plateau,13,0.00079345703125,0.23997058294480667,6,0.5,0.6954345703125
10,16384,True,[],plateau,10,0.0006103515625,0.18817391601623967,7,0.5,0.70654296875
14,16384,True,[],plateau,14,0.0008544921875,0.22752991603920236,8,0.5,0.6942138671875
13,16384,True,[],plateau,13,0.00079345703125,0.21785937499953434,9,0.5,0.69073486328125
12,32768,True,[],plateau,12,0.0003662109375,0.4965090419864282,0,0.5,0.69232177734375
12,32768,True,[],plateau,12,0.0003662109375,0.5200566250132397,1,0.5,0.69061279296875
16,32768,True,[],plateau,16,0.00048828125,0.6570589999901131,2,0.5,0.691436767578125
11,32768,True,[],plateau,11,0.000335693359375,0.48546937498031184,3,0.5,0.687774658203125
17,32768,True,[],plateau,16,0.00048828125,1.0800237499643117,4,0.5,0.692626953125
12,32768,True,[],plateau,12,0.0003662109375,0.9229481249931268,5,0.5,0.693115234375
17,32768,True,[],plateau,17,0.000518798828125,1.47053487499943,6,0.5,0.688934326171875
5,32768,True,[],plateau,5,0.000152587890625,0.6087272499571554,7,0.5,0.691253662109375
15,32768,True,[],plateau,15,0.000457763671875,0.9797513330122456,8,0.5,0.694488525390625
15,32768,True,[],plateau,15,0.000457763671875,1.0092158750048839,9,0.5,0.6904296875
15,65536,True,[],plateau,15,0.0002288818359375,2.0225661669974215,0,0.5,0.6930084228515625
22,65536,True,[],plateau,22,0.000335693359375,2.380996541993227,1,0.5,0.6927337646484375
17,65536,True,[],plateau,17,0.0002593994140625,1.8460630000336096,2,0.5,0.6907196044921875
17,65536,True,[],plateau,17,0.0002593994140625,1.884548083995469,3,0.5,0.6897125244140625
15,65536,True,[],plateau,15,0.0002288818359375,1.4550691250478849,4,0.5,0.692230224609375
9,65536,True,[],plateau,9,0.0001373291015625,0.934338916966226,5,0.5,0.6922149658203125
11,65536,True,[],plateau,11,0.0001678466796875,1.4506124170147814,6,0.5,0.6910247802734375
14,65536,True,[],plateau,14,0.000213623046875,1.4514501669909805,7,0.5,0.6915740966796875
13,65536,True,[],plateau,13,0.0001983642578125,1.220688291999977,8,0.5,0.6931915283203125
17,65536,True,[],plateau,17,0.0002593994140625,1.714062541956082,9,0.5,0.6905975341796875
20,4096,True,[],plateau,20,0.0048828125,0.08390974998474121,0,1.0,0.6005859375
35,4096,True,[],plateau,35,0.008544921875,0.19091183302225545,1,1.0,0.599853515625
24,4096,True,[],plateau,24,0.005859375,0.17051283305045217,2,1.0,0.6005859375
21,4096,True,[],plateau,21,0.005126953125,0.07678487501107156,3,1.0,0.5986328125
30,4096,True,[],plateau,30,0.00732421875,0.2192133340286091,4,1.0,0.601806640625
28,4096,True,[],plateau,28,0.0068359375,0.25734416698105633,5,1.0,0.600341796875
22,4096,True,[],plateau,22,0.00537109375,0.13086737500270829,6,1.0,0.609130859375
28,4096,True,[],plateau,28,0.0068359375,0.12608308298513293,7,1.0,0.59619140625
28,4096,True,[],plateau,28,0.0068359375,0.2266586670302786,8,1.0,0.608154296875
21,4096,True,[],plateau,21,0.005126953125,0.14944733399897814,9,1.0,0.5986328125
29,8192,True,[],plateau,29,0.0035400390625,0.3352445830241777,0,1.0,0.5994873046875
22,8192,True,[],plateau,22,0.002685546875,0.21094304200960323,1,1.0,0.599609375
25,8192,True,[],plateau,25,0.0030517578125,0.1959313330007717,2,1.0,0.6046142578125
22,8192,True,[],plateau,22,0.002685546875,0.16666816599899903,3,1.0,0.5989990234375
24,8192,True,[],plateau,24,0.0029296875,0.17050416703568771,4,1.0,0.5966796875
22,8192,True,[],plateau,22,0.002685546875,0.1660664159571752,5,1.0,0.60205078125
19,8192,True,[],plateau,19,0.0023193359375,0.1541456250124611,6,1.0,0.59912109375
34,8192,True,[],plateau,34,0.004150390625,0.2455584999988787,7,1.0,0.6015625
24,8192,True,[],plateau,24,0.0029296875,0.1774941660114564,8,1.0,0.598388671875
28,8192,True,[],plateau,28,0.00341796875,0.2040207500103861,9,1.0,0.5953369140625
22,16384,True,[],plateau,22,0.0013427734375,0.47393662499962375,0,1.0,0.60577392578125
24,16384,True,[],plateau,24,0.00146484375,0.5450038749841042,1,1.0,0.59918212890625
21,16384,True,[],plateau,21,0.00128173828125,0.45085500000277534,2,1.0,0.60137939453125
17,16384,True,[],plateau,17,0.00103759765625,0.3975939169758931,3,1.0,0.60186767578125
32,16384,True,[],plateau,32,0.001953125,0.47457729099551216,4,1.0,0.6044921875
24,16384,True,[],plateau,24,0.00146484375,0.357850874948781,5,1.0,0.59716796875
19,16384,True,[],plateau,19,0.00115966796875,0.28196450002724305,6,1.0,0.59765625
33,16384,True,[],plateau,33,0.00201416015625,0.4865042919991538,7,1.0,0.59674072265625
16,16384,True,[],plateau,16,0.0009765625,0.292306249961257,8,1.0,0.604248046875
27,16384,True,[],plateau,27,0.00164794921875,0.47219095804030076,9,1.0,0.600341796875
20,32768,True,[],plateau,20,0.0006103515625,0.8159659589873627,0,1.0,0.5997314453125
29,32768,True,[],plateau,29,0.000885009765625,1.0931194999720901,1,1.0,0.602569580078125
23,32768,True,[],plateau,23,0.000701904296875,0.9860155840287916,2,1.0,0.600433349609375
23,32768,True,[],plateau,23,0.000701904296875,0.7242170000099577,3,1.0,0.597015380859375
21,32768,True,[],plateau,21,0.000640869140625,0.7373216659761965,4,1.0,0.59881591796875
21,32768,True,[],plateau,21,0.000640869140625,0.6361363329924643,5,1.0,0.601348876953125
18,32768,True,[],plateau,18,0.00054931640625,0.6091464160126634,6,1.0,0.596160888671875
27,32768,True,[],plateau,27,0.000823974609375,1.0323471670271829,7,1.0,0.602996826171875
31,32768,True,[],plateau,31,0.000946044921875,1.1695295419776812,8,1.0,0.600128173828125
26,32768,True,[],plateau,26,0.00079345703125,0.9998937089694664,9,1.0,0.597381591796875
36,65536,True,[],plateau,36,0.00054931640625,3.4534306249697693,0,1.0,0.5985565185546875
21,65536,True,[],plateau,21,0.0003204345703125,2.0542325830319896,1,1.0,0.5974884033203125
25,65536,True,[],plateau,25,0.0003814697265625,2.5576341670239344,2,1.0,0.594696044921875
23,65536,True,[],plateau,23,0.0003509521484375,2.3926583750289865,3,1.0,0.59844970703125
27,65536,True,[],plateau,27,0.0004119873046875,2.450887458981015,4,1.0,0.600433349609375
20,65536,True,[],plateau,20,0.00030517578125,1.8666397919878364,5,1.0,0.6005859375
20,65536,True,[],plateau,20,0.00030517578125,1.8649872919777408,6,1.0,0.5957183837890625
24,65536,True,[],plateau,24,0.0003662109375,2.24185099999886,7,1.0,0.5990447998046875
18,65536,True,[],plateau,18,0.000274658203125,1.6959375829901546,8,1.0,0.5984039306640625
21,65536,True,[],plateau,21,0.0003204345703125,1.8780668340041302,9,1.0,0.600555419921875
26,4096,True,[],plateau,26,0.00634765625,0.08709887496661395,0,1.5,0.563720703125
32,4096,True,[],plateau,32,0.0078125,0.10869229095987976,1,1.5,0.578369140625
24,4096,True,[],plateau,24,0.005859375,0.09433312498731539,2,1.5,0.573974609375
34,4096,True,[],plateau,34,0.00830078125,0.12398379197111353,3,1.5,0.56396484375
39,4096,True,[],plateau,39,0.009521484375,0.14058895799098536,4,1.5,0.56591796875
27,4096,True,[],plateau,27,0.006591796875,0.11535804101731628,5,1.5,0.568359375
30,4096,True,[],plateau,30,0.00732421875,0.14775187498889863,6,1.5,0.577880859375
47,4096,True,[],plateau,47,0.011474609375,0.2071400840068236,7,1.5,0.5625
36,4096,True,[],plateau,36,0.0087890625,0.16451695800060406,8,1.5,0.568359375
37,4096,True,[],plateau,37,0.009033203125,0.3012153750169091,9,1.5,0.571533203125
40,8192,True,[],plateau,40,0.0048828125,0.4462364999926649,0,1.5,0.56494140625
34,8192,True,[],plateau,34,0.004150390625,0.2725364159559831,1,1.5,0.5667724609375
43,8192,True,[],plateau,43,0.0052490234375,0.43213133298559114,2,1.5,0.5723876953125
39,8192,True,[],plateau,39,0.0047607421875,0.4094858339522034,3,1.5,0.5634765625
36,8192,True,[],plateau,36,0.00439453125,0.4155834999983199,4,1.5,0.5758056640625
34,8192,True,[],plateau,34,0.004150390625,0.372616124979686,5,1.5,0.5703125
36,8192,True,[],plateau,36,0.00439453125,0.3982249170076102,6,1.5,0.567626953125
33,8192,True,[],plateau,33,0.0040283203125,0.3161372499889694,7,1.5,0.5687255859375
37,8192,True,[],plateau,37,0.0045166015625,0.3810566670144908,8,1.5,0.5555419921875
36,8192,True,[],plateau,36,0.00439453125,0.3530492910067551,9,1.5,0.5660400390625
44,16384,True,[],plateau,44,0.002685546875,0.9677133749937639,0,1.5,0.57196044921875
29,16384,True,[],plateau,29,0.00177001953125,0.6837753749568947,1,1.5,0.57183837890625
39,16384,True,[],plateau,39,0.00238037109375,0.8984362090122886,2,1.5,0.5638427734375
28,16384,True,[],plateau,28,0.001708984375,0.7438340419903398,3,1.5,0.57000732421875
28,16384,True,[],plateau,28,0.001708984375,1.1105935840168968,4,1.5,0.56512451171875
39,16384,True,[],plateau,39,0.00238037109375,1.059751958004199,5,1.5,0.5684814453125
32,16384,True,[],plateau,32,0.001953125,0.9594231669907458,6,1.5,0.5634765625
40,16384,True,[],plateau,40,0.00244140625,1.0477202499751002,7,1.5,0.5660400390625
45,16384,True,[],plateau,45,0.00274658203125,0.9623947910149582,8,1.5,0.56475830078125
37,16384,True,[],plateau,37,0.00225830078125,0.7656607080134563,9,1.5,0.564697265625
39,32768,True,[],plateau,39,0.001190185546875,2.545462249952834,0,1.5,0.566162109375
34,32768,True,[],plateau,34,0.00103759765625,2.078883832960855,1,1.5,0.567657470703125
33,32768,True,[],plateau,33,0.001007080078125,2.380163708992768,2,1.5,0.564178466796875
37,32768,True,[],plateau,37,0.001129150390625,2.7823132920311764,3,1.5,0.567840576171875
44,32768,True,[],plateau,44,0.0013427734375,2.6366414590156637,4,1.5,0.5660400390625
34,32768,True,[],plateau,34,0.00103759765625,1.777689290989656,5,1.5,0.56390380859375
25,32768,True,[],plateau,25,0.000762939453125,1.2352520000422373,6,1.5,0.565521240234375
35,32768,True,[],plateau,35,0.001068115234375,1.9852785000111908,7,1.5,0.562286376953125
39,32768,True,[],plateau,39,0.001190185546875,2.949609834002331,8,1.5,0.570953369140625
40,32768,True,[],plateau,40,0.001220703125,2.4940518339863047,9,1.5,0.56707763671875
32,65536,True,[],plateau,32,0.00048828125,4.098368582956027,0,1.5,0.56353759765625
25,65536,True,[],plateau,25,0.0003814697265625,2.977236541977618,1,1.5,0.56591796875
39,65536,True,[],plateau,39,0.0005950927734375,4.496453667001333,2,1.5,0.5688934326171875
45,65536,True,[],plateau,45,0.0006866455078125,5.162264874961693,3,1.5,0.5636444091796875
38,65536,True,[],plateau,38,0.000579833984375,4.338600624992978,4,1.5,0.565338134765625
43,65536,True,[],plateau,43,0.0006561279296875,5.292390124988742,5,1.5,0.5648345947265625
40,65536,True,[],plateau,40,0.0006103515625,5.336104541958775,6,1.5,0.568634033203125
41,65536,True,[],plateau,41,0.0006256103515625,5.095072458032519,7,1.5,0.563140869140625
33,65536,True,[],plateau,33,0.0005035400390625,4.248589583032299,8,1.5,0.5652923583984375
37,65536,True,[],plateau,37,0.0005645751953125,4.277936333033722,9,1.5,0.5670928955078125
36,4096,True,[],plateau,36,0.0087890625,0.22389541700249538,0,2.0,0.569580078125
37,4096,True,[],plateau,37,0.009033203125,0.16130254202289507,1,2.0,0.5595703125
43,4096,True,[],plateau,43,0.010498046875,0.20893949997844175,2,2.0,0.561279296875
51,4096,True,[],plateau,51,0.012451171875,0.23186195798916742,3,2.0,0.550048828125
47,4096,True,[],plateau,47,0.011474609375,0.22062562499195337,4,2.0,0.5556640625
40,4096,True,[],plateau,40,0.009765625,0.18769320799037814,5,2.0,0.555419921875
29,4096,True,[],plateau,28,0.0068359375,0.14560716698179021,6,2.0,0.552490234375
52,4096,True,[],plateau,52,0.0126953125,0.3079860840225592,7,2.0,0.55322265625
41,4096,True,[],plateau,41,0.010009765625,0.203372040996328,8,2.0,0.556396484375
47,4096,True,[],plateau,47,0.011474609375,0.22825612500309944,9,2.0,0.543212890625
