candidate_count,dimension,mu,optimizer_converged,outside_candidate_payers,panel,payer_count,payer_fraction,runtime_seconds,seed,shuffled_label_accuracy,test_accuracy,training_accuracy
7,2,0.0,True,[],accuracy_association,7,0.014,0.01688391697825864,0,0.5084,0.498,0.564
6,2,0.0,True,[],accuracy_association,6,0.012,0.011543874978087842,1,0.5098,0.4934,0.526
35,2,0.0,True,[],accuracy_association,35,0.07,0.05113670800346881,2,0.5084,0.4936,0.514
10,2,0.0,True,[],accuracy_association,10,0.02,0.01622929098084569,3,0.502,0.5004,0.528
43,2,0.0,True,[],accuracy_association,43,0.086,0.06160666700452566,4,0.5044,0.4968,0.53
39,2,0.0,True,[],accuracy_association,39,0.078,0.05669358297018334,5,0.4984,0.5068,0.518
12,2,0.0,True,[],accuracy_association,12,0.024,0.019290041993372142,6,0.5102,0.491,0.54
5,2,0.0,True,[],accuracy_association,5,0.01,0.007846041989978403,7,0.4942,0.5034,0.514
21,2,0.0,True,[],accuracy_association,21,0.042,0.026970624981913716,8,0.4974,0.5006,0.512
11,2,0.0,True,[],accuracy_association,11,0.022,0.019348459027241915,9,0.489,0.5054,0.506
3,2,0.5,True,[],accuracy_association,3,0.006,0.0062991660088300705,0,0.5048,0.6952,0.676
3,2,0.5,True,[],accuracy_association,3,0.006,0.006041999964509159,1,0.4982,0.691,0.712
1,2,0.5,True,[],accuracy_association,1,0.002,0.003998333995696157,2,0.5034,0.6966,0.68
2,2,0.5,True,[],accuracy_association,2,0.004,0.005824125022627413,3,0.5028,0.698,0.644
0,2,0.5,True,[],accuracy_association,0,0.0,0.003063749987632036,4,0.5008,0.6828,0.744
0,2,0.5,True,[],accuracy_association,0,0.0,0.0047716249828226864,5,0.4958,0.7014,0.668
0,2,0.5,True,[],accuracy_association,0,0.0,0.004497915972024202,6,0.4948,0.6964,0.682
0,2,0.5,True,[],accuracy_association,0,0.0,0.0036202920018695295,7,0.5078,0.6822,0.656
4,2,0.5,True,[],accuracy_association,4,0.008,0.009778082952834666,8,0.5044,0.6832,0.724
2,2,0.5,True,[],accuracy_association,2,0.004,0.005187916045542806,9,0.5114,0.689,0.71
1,2,1.0,True,[],accuracy_association,1,0.002,0.004174333997070789,0,0.4978,0.8394,0.842
0,2,1.0,True,[],accuracy_association,0,0.0,0.002808124991133809,1,0.5112,0.8448,0.86
0,2,1.0,True,[],accuracy_association,0,0.0,0.0036578330327756703,2,0.5044,0.8456,0.858
0,2,1.0,True,[],accuracy_association,0,0.0,0.0038080000085756183,3,0.4986,0.8426,0.838
0,2,1.0,True,[],accuracy_association,0,0.0,0.005917124974075705,4,0.506,0.8344,0.846
0,2,1.0,True,[],accuracy_association,0,0.0,0.00549787498312071,5,0.4834,0.8354,0.818
1,2,1.0,True,[],accuracy_association,1,0.002,0.005620958982035518,6,0.49,0.8452,0.86
1,2,1.0,True,[],accuracy_association,1,0.002,0.0040684170089662075,7,0.5094,0.8458,0.834
0,2,1.0,True,[],accuracy_association,0,0.0,0.0025792079977691174,8,0.4948,0.8448,0.786
0,2,1.0,True,[],accuracy_association,0,0.0,0.004889249976258725,9,0.5146,0.8454,0.84
0,2,1.5,True,[],accuracy_association,0,0.0,0.0028093329747207463,0,0.4892,0.9372,0.946
0,2,1.5,True,[],accuracy_association,0,0.0,0.002941708022262901,1,0.5086,0.935,0.94
0,2,1.5,True,[],accuracy_association,0,0.0,0.004939791979268193,2,0.5054,0.9266,0.932
0,2,1.5,True,[],accuracy_association,0,0.0,0.0029464169638231397,3,0.4984,0.9364,0.924
1,2,1.5,True,[],accuracy_association,0,0.0,0.004235917003825307,4,0.4946,0.9286,0.94
0,2,1.5,True,[],accuracy_association,0,0.0,0.00269875000230968,5,0.505,0.933,0.942
0,2,1.5,True,[],accuracy_association,0,0.0,0.003626124991569668,6,0.5078,0.931,0.936
1,2,1.5,True,[],accuracy_association,0,0.0,0.003803167026489973,7,0.4874,0.927,0.936
0,2,1.5,True,[],accuracy_association,0,0.0,0.0023218750138767064,8,0.5094,0.931,0.946
0,2,1.5,True,[],accuracy_association,0,0.0,0.004683291015680879,9,0.5068,0.936,0.932
0,2,2.0,True,[],accuracy_association,0,0.0,0.0041592909838072956,0,0.494,0.978,0.972
0,2,2.0,True,[],accuracy_association,0,0.0,0.003467499976977706,1,0.5108,0.9772,0.976
0,2,2.0,True,[],accuracy_association,0,0.0,0.004435750015545636,2,0.5058,0.9786,0.984
0,2,2.0,True,[],accuracy_association,0,0.0,0.0034240420209243894,3,0.4872,0.9768,0.984
0,2,2.0,True,[],accuracy_association,0,0.0,0.0036905420129187405,4,0.499,0.9778,0.978
0,2,2.0,True,[],accuracy_association,0,0.0,0.003860958036966622,5,0.5154,0.9762,0.978
0,2,2.0,True,[],accuracy_association,0,0.0,0.0040210000006482005,6,0.5058,0.9758,0.988
0,2,2.0,True,[],accuracy_association,0,0.0,0.003402833011932671,7,0.5036,0.9764,0.976
0,2,2.0,True,[],accuracy_association,0,0.0,0.0036273750010877848,8,0.4982,0.9754,0.976
0,2,2.0,True,[],accuracy_association,0,0.0,0.002421208017040044,9,0.5126,0.9754,0.984
0,2,3.0,True,[],accuracy_association,0,0.0,0.002926874964032322,0,0.4992,0.998,1.0
0,2,3.0,True,[],accuracy_association,0,0.0,0.004090333008207381,1,0.5102,0.9986,0.998
0,2,3.0,True,[],accuracy_association,0,0.0,0.0022458340390585363,2,0.4978,0.9982,1.0
0,2,3.0,True,[],accuracy_association,0,0.0,0.0030148340156301856,3,0.5002,0.999,1.0
0,2,3.0,True,[],accuracy_association,0,0.0,0.002846375049557537,4,0.4934,0.999,0.996
0,2,3.0,True,[],accuracy_association,0,0.0,0.0027536670095287263,5,0.5012,0.9988,0.994
0,2,3.0,True,[],accuracy_association,0,0.0,0.002889542025513947,6,0.49,0.9988,1.0
0,2,3.0,True,[],accuracy_association,0,0.0,0.0035418749903328717,7,0.4886,0.9986,1.0
0,2,3.0,True,[],accuracy_association,0,0.0,0.007314249989576638,8,0.4972,0.9988,0.998
0,2,3.0,True,[],accuracy_association,0,0.0,0.0024951249943114817,9,0.5068,0.9988,1.0
0,2,4.0,True,[],accuracy_association,0,0.0,0.0027852909988723695,0,0.494,1.0,1.0
0,2,4.0,True,[],accuracy_association,0,0.0,0.005449166987091303,1,0.5,1.0,1.0
0,2,4.0,True,[],accuracy_association,0,0.0,0.003013625042513013,2,0.504,1.0,1.0
0,2,4.0,True,[],accuracy_association,0,0.0,0.008340666012372822,3,0.5008,1.0,1.0
0,2,4.0,True,[],accuracy_association,0,0.0,0.007019042037427425,4,0.5052,1.0,1.0
0,2,4.0,True,[],accuracy_association,0,0.0,0.00728349998826161,5,0.4948,1.0,1.0
0,2,4.0,True,[],accuracy_association,0,0.0,0.005864750011824071,6,0.5092,1.0,1.0
0,2,4.0,True,[],accuracy_association,0,0.0,0.002678207994904369,7,0.4988,1.0,1.0
0,2,4.0,True,[],accuracy_association,0,0.0,0.0030146249919198453,8,0.5072,1.0,1.0
0,2,4.0,True,[],accuracy_association,0,0.0,0.0025190000305883586,9,0.4948,1.0,1.0
0,2,5.0,True,[],accuracy_association,0,0.0,0.004318375024013221,0,0.5116,1.0,1.0
0,2,5.0,True,[],accuracy_association,0,0.0,0.005170666961930692,1,0.518,1.0,1.0
0,2,5.0,True,[],accuracy_association,0,0.0,0.004471833992283791,2,0.4896,1.0,1.0
0,2,5.0,True,[],accuracy_association,0,0.0,0.002332791977096349,3,0.4944,1.0,1.0
0,2,5.0,True,[],accuracy_association,0,0.0,0.0025873330305330455,4,0.4964,1.0,1.0
0,2,5.0,True,[],accuracy_association,0,0.0,0.003736875019967556,5,0.4964,1.0,1.0
0,2,5.0,True,[],accuracy_association,0,0.0,0.0037407909985631704,6,0.4932,1.0,1.0
0,2,5.0,True,[],accuracy_association,0,0.0,0.0027518750284798443,7,0.504,1.0,1.0
0,2,5.0,True,[],accuracy_association,0,0.0,0.002578208048362285,8,0.484,1.0,1.0
0,2,5.0,True,[],accuracy_association,0,0.0,0.003037207992747426,9,0.506,1.0,1.0
0,2,6.0,True,[],accuracy_association,0,0.0,0.003594666952267289,0,0.504,1.0,1.0
0,2,6.0,True,[],accuracy_association,0,0.0,0.0025446670479141176,1,0.5024,1.0,1.0
0,2,6.0,True,[],accuracy_association,0,0.0,0.0033999999868683517,2,0.5072,1.0,1.0
0,2,6.0,True,[],accuracy_association,0,0.0,0.0030292089795693755,3,0.5028,1.0,1.0
0,2,6.0,True,[],accuracy_association,0,0.0,0.0022437499719671905,4,0.4852,1.0,1.0
0,2,6.0,True,[],accuracy_association,0,0.0,0.0033352080499753356,5,0.5028,1.0,1.0
0,2,6.0,True,[],accuracy_association,0,0.0,0.0035772499977611005,6,0.5096,1.0,1.0
0,2,6.0,True,[],accuracy_association,0,0.0,0.002155875030439347,7,0.5056,1.0,1.0
0,2,6.0,True,[],accuracy_association,0,0.0,0.0039862500270828605,8,0.4908,1.0,1.0
0,2,6.0,True,[],accuracy_association,0,0.0,0.0032422089716419578,9,0.4952,1.0,1.0
19,4,0.0,True,[],accuracy_association,19,0.038,0.03261033399030566,0,0.5084,0.5,0.546
36,4,0.0,True,[],accuracy_association,36,0.072,0.07007462502224371,1,0.5014,0.5006,0.53
22,4,0.0,True,[],accuracy_association,22,0.044,0.038389792025554925,2,0.5002,0.4978,0.564
31,4,0.0,True,[],accuracy_association,31,0.062,0.04520370898535475,3,0.497,0.4974,0.534
30,4,0.0,True,[],accuracy_association,30,0.06,0.05595754203386605,4,0.5062,0.5074,0.516
11,4,0.0,True,[],accuracy_association,11,0.022,0.03161775000626221,5,0.4962,0.5086,0.564
35,4,0.0,True,[],accuracy_association,35,0.07,0.18809854198480025,6,0.505,0.5118,0.52
24,4,0.0,True,[],accuracy_association,24,0.048,0.13313074997859076,7,0.4916,0.5,0.52
7,4,0.0,True,[],accuracy_association,7,0.014,0.013419083028566092,8,0.494,0.5084,0.558
6,4,0.0,True,[],accuracy_association,6,0.012,0.07843349996255711,9,0.4976,0.5096,0.576
2,4,0.5,True,[],accuracy_association,2,0.004,0.026698959001805633,0,0.5048,0.696,0.724
1,4,0.5,True,[],accuracy_association,1,0.002,0.028207290975842625,1,0.499,0.705,0.692
2,4,0.5,True,[],accuracy_association,2,0.004,0.0395168749964796,2,0.482,0.7004,0.694
3,4,0.5,True,[],accuracy_association,3,0.006,0.033095833961851895,3,0.5004,0.6836,0.712
1,4,0.5,True,[],accuracy_association,1,0.002,0.005036790971644223,4,0.5094,0.689,0.686
4,4,0.5,True,[],accuracy_association,4,0.008,0.010001084010582417,5,0.4918,0.6842,0.694
3,4,0.5,True,[],accuracy_association,3,0.006,0.015038749959785491,6,0.4928,0.68,0.708
2,4,0.5,True,[],accuracy_association,2,0.004,0.005148249969352037,7,0.4888,0.6936,0.712
4,4,0.5,True,[],accuracy_association,4,0.008,0.01181462500244379,8,0.4942,0.6942,0.686
1,4,0.5,True,[],accuracy_association,1,0.002,0.01481545902788639,9,0.4956,0.6976,0.718
